name,catid,rid,manufacturingDate,rating,quantity,price
wall,15,9753,2023-03-12,0,39498,11481
pattern,12,15517,2022-02-22,4,38485,6914
travel,13,19803,2023-10-06,2,45339,16824
term,1,23354,2022-08-11,1,14842,1361
decide,5,26425,2024-01-19,4,23778,28306
think,12,3177,2020-03-17,0,37645,9515
create,8,12922,2021-03-18,5,18640,7795
break,12,5872,2024-07-23,2,11312,25759
sport,7,1919,2023-02-13,1,27880,6059
star,1,23398,2023-08-27,0,14719,26426
buy,7,11268,2021-03-08,2,19058,17894
election,1,12055,2021-01-29,3,42093,8151
claim,16,17746,2022-09-28,1,44838,13423
fine,16,23431,2022-04-16,2,23484,6724
politics,2,5345,2024-01-27,2,44827,29259
church,2,2264,2024-05-05,2,41309,1269
mother,2,1384,2023-05-12,3,37705,103
positive,3,28307,2024-02-05,5,20723,17686
attention,12,19029,2020-03-30,0,41336,17329
raise,16,9169,2022-12-14,5,9070,9726
carry,6,4866,2021-09-05,1,15121,25573
development,8,6464,2022-07-17,1,44900,20515
yes,11,5401,2022-09-06,2,49107,8246
full,3,22064,2020-08-03,3,39978,25485
reduce,13,21255,2021-12-23,3,40074,9385
type,3,20664,2023-02-28,5,35352,2294
clearly,4,6341,2022-04-26,2,35344,1224
catch,16,7011,2023-05-24,0,47853,26260
purpose,13,20465,2021-01-22,1,25301,21205
fall,14,26036,2022-02-27,5,38912,3683
alone,10,1347,2020-03-25,2,11027,4908
late,16,7620,2021-10-22,4,47713,6785
believe,9,9396,2023-01-23,4,18239,13910
a,4,16221,2020-10-08,5,41307,8736
age,5,11765,2021-07-26,0,39532,13968
would,7,12983,2021-11-23,2,35530,6520
girl,11,21375,2022-12-02,1,30936,13216
today,6,15577,2022-06-24,5,39660,6499
property,14,18316,2020-10-14,0,35780,28998
single,10,10226,2023-11-08,3,15850,15571
mind,15,9019,2024-09-06,0,42262,15978
cut,10,10713,2020-09-08,3,34214,24292
wide,10,7974,2024-01-09,3,10100,13729
data,9,28189,2021-04-20,3,31973,17341
stay,11,1746,2023-12-20,3,6435,17437
tonight,9,24188,2020-09-17,2,47103,20170
successful,6,26232,2022-07-22,4,30822,26579
century,4,29989,2022-07-29,0,24410,14647
Mrs,14,6191,2020-10-28,4,29443,28973
a,3,15330,2022-04-28,2,7549,24324
skill,13,28064,2023-05-22,2,12729,1623
century,14,3822,2021-05-26,0,10261,7955
end,4,4750,2024-10-01,2,41622,20559
traditional,2,4162,2024-03-11,1,23474,29263
sell,9,27994,2022-03-01,1,24188,6357
player,12,16129,2023-08-29,2,24434,24954
team,16,6400,2024-09-18,4,41756,7079
fill,14,4786,2024-07-24,0,39249,14604
conference,1,4513,2021-03-12,5,41380,23803
difficult,5,4099,2022-09-30,1,30980,16373
catch,12,14521,2021-02-07,0,17452,21667
away,15,26337,2024-03-21,1,7447,156
partner,6,14868,2020-10-29,2,12053,22694
page,13,26810,2024-09-22,2,16010,24920
term,9,21556,2022-12-09,3,7017,18567
test,2,19684,2023-06-25,5,29424,25686
natural,3,7637,2023-09-29,0,42522,8869
at,1,228,2024-06-13,5,9400,8972
left,15,7948,2024-01-10,3,6606,1701
benefit,13,27097,2023-07-23,0,9802,2328
Congress,16,18606,2024-02-04,5,29457,25517
seek,8,6673,2024-10-21,3,23127,20888
financial,16,20296,2020-11-15,0,35429,1994
anything,3,5605,2022-03-29,0,28467,3943
great,7,20056,2024-07-25,0,22508,16130
character,3,17001,2022-07-05,0,32522,14347
check,5,22301,2021-04-21,4,44242,25835
special,2,12401,2024-03-16,1,14665,23664
lead,8,19330,2024-09-23,1,32222,21223
around,11,19639,2023-01-17,2,45422,18623
pull,10,18712,2022-07-04,5,44023,10882
member,7,4186,2020-04-07,5,44731,28309
not,1,13027,2022-11-30,4,42723,13375
response,15,11644,2021-12-22,2,42007,28037
trip,9,15623,2022-08-08,5,45774,13115
property,7,17136,2021-01-30,3,15149,3037
check,12,18146,2024-02-13,0,34248,6058
maintain,12,3219,2024-10-30,3,8542,27781
without,8,14833,2022-06-26,3,18009,28235
address,9,24814,2024-10-21,3,36117,11078
like,13,7670,2024-01-27,5,6417,6866
through,11,20403,2022-06-07,4,24517,18394
somebody,7,9825,2023-07-15,3,25217,11598
